Symbol,Security,GICS Sector,Location,CIK
SJM,JM Smucker,Consumer Staples,"Orrville, Ohio",701985
JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey",1056239
JCI,Johnson Controls International,Industrials,"Cork, Ireland",920148
JPM,JPMorgan Chase & Co.,Financials,"New York, New York",707549
JNPR,Juniper Networks,Information Technology,"Sunnyvale, California",58492
KSU,Kansas City Southern,Industrials,"Kansas City, Missouri",920760
K,Kellogg Co.,Consumer Staples,"Battle Creek, Michigan",96223
KEY,KeyCorp,Financials,"Cleveland, Ohio",794323
KEYS,Keysight Technologies,Information Technology,"Santa Rosa, California",59478
KMB,Kimberly-Clark,Consumer Staples,"Irving, Texas",59558
KIM,Kimco Realty,Real Estate,"New Hyde Park, New York",791907
KMI,Kinder Morgan,Energy,"Houston, Texas",1065696
KLAC,KLA-Tencor Corp.,Information Technology,"Milpitas, California",936468
KSS,Kohl's,Consumer Discretionary,"Menomonee Falls, Wisconsin",60086
KHC,Kraft Heinz,Consumer Staples,"Pittsburgh, Pennsylvania",60667
KR,Kroger Co.,Consumer Staples,"Cincinnati, Ohio",1489393
LB,L Brands Inc.,Consumer Discretionary,"Columbus, Ohio",36270
LLL,L-3 Communications Holdings,Industrials,"New York, New York",912242
LH,Laboratory Corp. of America Holding,Health Care,"Burlington, North Carolina",794367
LRCX,Lam Research,Information Technology,"Fremont, California",1567892
LEG,Leggett & Platt,Consumer Discretionary,"Carthage, Missouri",101778
LEN,Lennar Corp.,Consumer Discretionary,"Miami, Florida",1510295
LLY,Lilly (Eli) & Co.,Health Care,"Indianapolis, Indiana",1048286
LNC,Lincoln National,Financials,"Radnor, Pennsylvania",62709
LIN,Linde plc,Materials,Guildford,916076
LKQ,LKQ Corporation,Consumer Discretionary,"Chicago, Illinois",62996
LMT,Lockheed Martin Corp.,Industrials,"Bethesda, Maryland",1141391
L,Loews Corp.,Financials,"New York, New York",63276
LOW,Lowe's Cos.,Consumer Discretionary,"Mooresville, North Carolina",63754
LYB,LyondellBasell,Materials,"Rotterdam, Netherlands",63908
MTB,M&T Bank Corp.,Financials,"Buffalo, New York",927653
MAC,Macerich,Real Estate,"Santa Monica, California",1452575
M,Macy's Inc.,Consumer Discretionary,"Cincinnati, Ohio",64670
MRO,Marathon Oil Corp.,Energy,"Houston, Texas",310158
MPC,Marathon Petroleum,Energy,"Findlay, Ohio",1099219
MAR,Marriott Int'l.,Consumer Discretionary,"Bethesda, Maryland",1037646
MMC,Marsh & McLennan,Financials,"New York, New York",1530721
MLM,Martin Marietta Materials,Materials,"Raleigh, North Carolina",827054
MAS,Masco Corp.,Industrials,"Taylor, Michigan",723125
MA,Mastercard Inc.,Information Technology,"Harrison, New York",789019
MAT,Mattel Inc.,Consumer Discretionary,"El Segundo, California",912595
MKC,McCormick & Co.,Consumer Staples,"Sparks, Maryland",851968
MCD,McDonald's Corp.,Consumer Discretionary,"Chicago, Illinois",24545
MCK,McKesson Corp.,Health Care,"San Francisco, California",1103982
MDT,Medtronic plc,Health Care,Dublin,1110783
MRK,Merck & Co.,Health Care,"Whitehouse Station, New Jersey",865752
MET,MetLife Inc.,Financials,"New York, New York",1059556
MTD,Mettler Toledo,Health Care,"Columbus, Ohio",895421
